71660	14	3300	1	\N	1240	FDqRBpBFLF1qnF
71665	14	2377	1	\N	1218	RD1BLp1PBnbUBL
71707	14	2294	1	\N	1330	BDELFLqnB1pbuB
71711	14	3750	0	\N	1268	RD1BLqUbnBpruR
71715	14	3480	1	\N	1176	FDqRBrnPnRUrpE
71738	14	694	1	\N	1160	RD1qLPnRpRFRER
72513	14	2924	2	\N	1584	FDRbdFplDLdbpf
72673	14	2940	2	\N	1268	BD1qU1nBLBpBuB
73372	14	3536	3	\N	1196	RDbnqUBUb1qLpP
73919	14	461	3	\N	1188	BDU1nLUln1pbuB
74123	14	3167	0	\N	1352	FDnBUqpuElpBDl
74131	14	2947	2	\N	1348	FDnqpRFRDRBrpf
74656	14	2085	0	\N	1160	FpBF1qlFLElEDE
75675	14	2101	1	\N	1130	FpfuFuEUEDEPER
76381	14	2034	3	\N	1168	FpRqPBFUBnqEDE
76732	14	3839	1	\N	1350	FprDf1qLBFuBUb
76845	14	1110	1	\N	1268	BplULnlDqULE1F
77457	14	3233	0	\N	1342	LpUFnfD1rFrEnr
79432	14	3712	3	\N	1420	BdELELp1DfdbRB
79470	14	3268	2	\N	1450	Rd1qLdrFLERE1F
79663	14	58	1	\N	1532	LdPuERd1quPuRq
79965	14	3365	1	\N	1598	BdfLqnfUBdbuRB
80518	14	3057	1	\N	1660	RdBldRfpELfLDr
82117	14	2540	1	\N	1488	RdufDErEdqpBuP
82284	14	1333	0	\N	1274	LRpBDPpBRBPbD1
82285	14	510	3	\N	1190	LRpBDLPnqnbLqL
82995	14	3255	3	\N	1160	LRF1BLE1PFRqPE
83226	14	2692	0	\N	1036	LRFPUREPU1nLn1
83250	14	2455	2	\N	1048	BFRqnBnqnBuPqE
83265	14	977	1	\N	1126	BFLEufnEn1UEuq
83328	14	1559	2	\N	1054	BFRbnBUBnBUPqE
83533	14	234	0	\N	1076	LRqPBnFUEU1Bnq
83534	14	2110	0	\N	1120	LRqPBnFuBnqEU1
84313	14	3658	2	\N	1004	LRU1UBnqnPUquB
84319	14	2452	0	\N	1148	BFUEnELf1BLE1b
84363	14	980	3	\N	1158	LRUFnf1FPEnLF1
84439	14	3041	1	\N	1088	BFnEUqFRBnqPUE
84540	14	3775	0	\N	1292	LRnqulBE1FlUBP
84663	14	979	3	\N	1320	LRuLBRqEdFLBLr
84667	14	3295	2	\N	1352	BFuBPpRDbEUfrf
84944	14	2482	3	\N	1068	LRuPURu1uBnqUP
84948	14	3707	3	\N	1120	LRuPULE1FnRu1P
84954	14	141	0	\N	1136	LRu1UPU1BLqEuF
84979	14	3733	3	\N	1120	LRu1UqRBPnLu1P
84985	14	2215	2	RUL	1004	BFuEnFUEUquFnE
84990	14	959	3	RUL	1004	LRuPnRu1nPnRnP
85010	14	1302	1	\N	1264	BFuEnLDPERpn1q
85023	14	1981	1	\N	1052	LRu1u1BLqRqPBP
85031	14	2558	3	\N	1142	BFuEuELfUEu1nq
85456	14	1489	3	\N	1116	qFDBUqpBnRUPnE
85563	14	45	1	\N	1378	BEDfuFpfuqUblb
85731	14	2398	3	\N	1242	qFDPpBfUFRqRBr
85969	14	1913	0	\N	1232	1RDnLU1BpPBnqL
86165	14	1057	1	\N	1116	qFpEnFDEUPnRUB
86215	14	45	3	\N	1378	BEpbuqDbuFnflf
86274	14	1102	1	\N	1242	BEpLDqfnE1B1ql
86611	14	2345	2	\N	1232	1RpUPnRqDLqUBP
87422	14	1440	3	\N	1154	LPFLf1REuEuFu1
87545	14	3481	2	\N	1078	BELq1B1bFUPURB
87891	14	3162	1	\N	1350	1RBpPBRDlqPB1q
88052	14	2412	1	\N	1128	qFRBRqrEnPUrBP
88067	14	2685	0	\N	1024	1RBLBUbnBUbnqP
88068	14	3353	0	\N	1120	qFRBRUrnrEnPuR
88069	14	2865	2	\N	1018	qFRBRUruPURURE
88089	14	2186	3	\N	1044	qFRBPEUBUqUPUR
88107	14	3864	1	\N	1380	1RBLqPnlDPFRpl
88111	14	2142	1	\N	1084	1RBLqPnqUPnRUB
88112	14	2888	3	\N	1004	BELF1qn1nLU1UL
88114	14	1323	3	\N	1220	BELF1qnlBLbUBL
88169	14	173	1	\N	988	1RBLqnqUBuBnqP
88172	14	3276	0	\N	994	BELF1nlnLULULq
88188	14	1486	0	\N	1176	BELFlqn1nLUBlq
