13139	12	491	0	\N	1390	bdlflBFdBFuf
14295	12	1743	1	\N	1372	lbdUfUfDubDl
15146	12	3490	1	\N	1204	DlpBRqDlpqPB
15467	13	3390	3	\N	1274	FDqpFDPBpf1UL
17311	13	340	0	\N	1278	BdU1bRBPBLdUq
18911	13	2501	1	\N	1028	LPERFnEUPFRU1
20414	13	3603	0	\N	1294	lRpBDRDBdqDlr
24468	13	1378	3	\N	1120	LE1F1uqPURBUL
25009	13	695	0	\N	1118	FPEuRURBnqrUR
25536	13	2615	3	\N	1228	LEdqDEpBDFDF1
25618	13	968	0	\N	1206	B1fDFp1pLDFLq
25997	13	2065	3	\N	1106	RquqULn1BURBr
27733	13	3537	1	\N	1104	RbUbRpRDRURuP
27950	13	3604	3	\N	1090	RFREnrqPBEUFR
30320	13	123	2	\N	1016	FUEUFRUPEu1nL
33456	13	2402	2	\N	1066	FnqUEUB1BLbuB
37966	13	767	1	\N	1208	Pp1EDRpLDULF1
40821	13	2607	3	\N	1190	qLfUFpEnFDF1B
41133	13	703	0	\N	1112	1FuRULnPU1UEL
41508	13	3542	0	\N	1048	1E1UqnLF1BLUL
42447	13	436	0	\N	1260	PbFPdRF1FLbFR
43810	13	1751	1	\N	1018	1BlELFLqLUqUB
44476	13	281	1	\N	1084	ELnLpULn1D1UF
44954	13	2615	0	\N	1028	1q1UBUqPnLRBL
45682	13	3359	3	\N	976	PE1ULn1ULuFUR
48183	13	1137	0	\N	1270	ElBLDFULEpFnq
49262	13	3542	0	\N	1088	1U1qUPnBLqRBL
51412	13	3819	0	\N	984	PnRnPE1ULUFUR
56515	13	3132	1	RFU	998	1ubuBUqUBUBuL
56541	13	2176	0	\N	1286	fDFdLqnLUB1DF
56915	13	21	2	\N	1282	bDEpBDFdBuqDB
57444	13	3604	0	\N	1260	fDUFpnfD1ULFp
61422	13	877	0	\N	1070	lELU1FLnLFPER
65611	13	1965	3	\N	1222	brFRBfuBuqFRB
66692	13	494	0	\N	1146	bU1BUPnLnRBnB
67671	13	1362	0	\N	1302	lnEpLDFLpqUBD
69335	13	2499	0	\N	1026	DlnLULnLp1BLq
47	8	3872	3	\N	680	PnRBLU1q
48	8	1356	0	RFU	568	qnBUB1qL
49	8	3542	3	RFU	640	EnELF1UF
50	8	40	2	RFU	660	PnrqPbnq
51	8	3442	3	RFU	640	qnRqPBUB
52	8	142	0	\N	710	1uLfPERE
53	8	1691	3	RFU	632	quBuB1qL
85	9	276	0	\N	1180	FLdbuRbdF
88	9	94	2	RFU	730	FUFPErnPE
89	9	2615	0	RFU	688	BUq1BnqUL
93	9	968	3	\N	728	BUqPnEnFR
94	9	1028	2	RFU	720	BUqPnRBnq
95	9	3816	1	RFU	760	LU1quBLn1
96	9	1028	3	\N	790	BUqrFREnR
97	9	32	2	\N	718	FUEUlBLqL
