161007	44	39	5287506	100	3657
160507	43	18	5255602	200	2
161170	45	17	5300379	100	3165
162431	48	42	51238	321	1761
161988	47	32	5807055	200	309
162393	38	48	43049	121	3755
153952	10	5	7867	11	3834
156491	17	28	2502700	200	1276
159500	40	10	1019649	0	1319
161666	46	36	5545398	0	1819
154593	5	17	255419	200	1005
157685	33	24	3954267	200	2783
163680	52	7	1225199	0	262
156496	28	17	3404146	300	2553
161733	45	46	5300369	200	1577
162600	17	49	506157	311	1137
162703	30	49	3492595	200	2717
157436	32	23	3631325	200	3077
156735	21	29	2677374	300	493
161408	4	46	225124	100	714
161834	13	47	238588	211	2933
156252	27	12	624305	0	2982
157704	27	33	3093959	100	1915
160191	42	19	1041612	111	2815
160875	23	44	2780304	100	2270
164405	53	48	6183449	0	2804
160062	3	42	151014	200	1435
162221	16	48	2446103	300	2441
156508	28	19	3404188	100	2268
163800	23	52	2780172	0	3228
156407	28	6	681668	200	3488
160951	44	32	5287495	100	36
161399	3	46	31702	11	2387
162311	48	27	5845284	100	3299
161515	46	17	5545379	0	436
163341	14	51	1166151	200	3407
153696	4	3	10480	200	276
156745	29	22	690893	111	3609
161648	34	46	802156	111	348
162528	8	49	695381	300	3849
162565	13	49	1129601	0	1513
153673	2	3	5312	300	473
155732	18	24	2516086	100	2913
157331	10	32	798179	300	3685
158738	37	24	985228	111	500
162742	35	49	4939252	100	1060
156319	27	20	27209	321	1780
159888	41	20	5210043	300	2260
157680	24	33	2785987	100	1731
162656	24	49	564084	311	2793
164144	15	53	1227678	300	2044
154073	12	2	48209	100	3459
156939	19	30	106569	310	3755
159679	33	40	35137	121	1018
162012	47	35	5807060	200	2869
162899	7	50	621955	300	217
159070	38	30	4970239	0	1761
159531	14	40	1166180	300	1767
160067	42	3	220345	300	1925
161242	45	26	5300389	100	2377
163507	35	51	4939115	0	1789
158848	38	2	208559	200	3081
159882	20	41	2663928	100	1252
161564	46	23	1102256	111	3882
163892	52	34	6147428	0	946
156040	26	10	24782	110	1648
161181	19	45	2547231	0	2861
155704	24	14	564019	100	880
157631	18	33	105189	10	3338
158076	35	9	207088	311	719
161345	45	39	5300363	200	3459
156294	27	17	3093902	200	3460
160369	42	42	10185	120	527
160376	2	43	110175	300	481
161809	10	47	798240	100	3702
